2025-08-01 01:28:51.243 [LE] INFO  [JTS-Main] - ------------------------------- TWS RESTART --------------------------------
2025-08-01 01:28:51.250 [LE] INFO  [JTS-Main] - installer version: 4.101, installer type: updatable, install dir: 'C:\Users\mrbat\Desktop\495\tws\', Jts dir: 'C:\Users\mrbat\Desktop\495\tws', VM options file: 'C:\Users\mrbat\Desktop\495\tws\tws.vmoptions'
2025-08-01 01:28:51.261 [LE] INFO  [JTS-Main] - PROXY Installed custom selector
2025-08-01 01:28:51.351 [LE] INFO  [JTS-Main] - Setting custom timezone: America/New_York
2025-08-01 01:28:51.357 [LE] INFO  [JTS-Main] - LOCALE: Property locale_to_use=null JTS Locale=en_US  country=United States  variant=
2025-08-01 01:28:51.358 [LE] INFO  [JTS-Main] - Region: America
2025-08-01 01:28:51.358 [LE] INFO  [JTS-Main] - URL for locales.jar from argument: https://download2.interactivebrokers.com/installers/shared/i18n/ib
2025-08-01 01:28:51.359 [LE] INFO  [JTS-Main] - Starting to download 'https://download2.interactivebrokers.com/installers/shared/i18n/ib/locales.jar' using HotBackup 'https://download2.interactivebrokers.com/installers/shared/i18n/ib/locales.jar'
2025-08-01 01:28:51.773 [LE] INFO  [JTS-Main] - LOCALE: needToUpdate  dest=C:\Users\mrbat\Desktop\495\tws\jars\locales.jar  sourceMod=2025-07-31 16:11:52  destMod=2025-07-31 16:11:52  sourceSize=151902  destSize=151902  conditions=[NEWER_REMOTE, LOCAL_IN_FUTURE, SIZE_DIFFERS]  download=false
2025-08-01 01:28:51.773 [LE] INFO  [JTS-Main] - LOCALE: C:\Users\mrbat\Desktop\495\tws\jars\locales.jar already up-to-date
2025-08-01 01:28:51.789 [LE] INFO  [JTS-Main] - DocumentBuilderFactory=jrt:/java.xml/com/sun/org/apache/xerces/internal/jaxp/DocumentBuilderFactoryImpl.class
2025-08-01 01:28:51.802 [LE] INFO  [JTS-Main] - LOCALE: loaded 11 supported locales
2025-08-01 01:28:51.810 [LE] INFO  [JTS-Main] - LOCALE: loaded 10 countries
2025-08-01 01:28:51.815 [LE] INFO  [JTS-Main] - Locale from ini: en
2025-08-01 01:28:51.815 [LE] INFO  [JTS-Main] - LOCALE: created classloader java.net.URLClassLoader@3a45c42a with file:/C:/Users/mrbat/Desktop/495/tws/jars/locales.jar, parent: jdk.internal.loader.ClassLoaders$AppClassLoader@28c97a5
